Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90701;0799;2;2;0;0;0;0;0;0;0;1;0;0;1;20110101
AT1;AT13;AT130;90801;0801;2;2496;111;27;154;45;37;22;40;29;32;369;1630;20110101
AT1;AT13;AT130;90801;0802;2;6009;218;77;331;110;50;31;68;74;66;880;4104;20110101
AT1;AT13;AT130;90801;0803;2;3890;200;74;190;85;26;33;22;39;59;544;2618;20110101
AT1;AT13;AT130;90801;0899;2;3;0;0;0;0;0;0;0;0;0;1;2;20110101
AT1;AT13;AT130;90901;0901;2;4328;297;97;174;83;60;37;46;55;45;537;2897;20110101
AT1;AT13;AT130;90901;0902;2;5761;315;83;273;107;51;56;56;83;86;822;3829;20110101
AT1;AT13;AT130;90901;0903;2;2144;123;63;101;61;33;28;40;30;30;267;1368;20110101
AT1;AT13;AT130;90901;0904;2;4864;245;98;272;110;117;86;42;55;72;768;2999;20110101
AT1;AT13;AT130;90901;0905;2;2812;64;25;177;39;16;20;37;37;25;464;1908;20110101
AT1;AT13;AT130;90901;0906;2;1117;42;10;53;16;10;7;15;16;9;200;739;20110101
AT1;AT13;AT130;91001;1001;2;471;58;47;10;25;23;10;21;1;4;50;222;20110101
AT1;AT13;AT130;91001;1002;2;9456;1094;959;141;285;305;157;203;86;110;1229;4887;20110101
AT1;AT13;AT130;91001;1003;2;3572;347;262;50;99;108;54;36;48;46;344;2178;20110101
AT1;AT13;AT130;91001;1004;2;3844;545;379;67;107;112;57;99;43;30;564;1841;20110101
AT1;AT13;AT130;91001;1005;2;8804;933;890;115;265;341;174;176;74;92;1068;4676;20110101
AT1;AT13;AT130;91001;1006;2;5850;800;726;91;199;323;125;149;52;42;849;2494;20110101
AT1;AT13;AT130;91001;1007;2;6074;538;312;90;142;201;89;112;71;59;639;3821;20110101
AT1;AT13;AT130;91001;1008;2;4766;574;456;80;160;215;87;117;46;49;581;2401;20110101
AT1;AT13;AT130;91001;1009;2;2485;191;133;35;54;82;16;44;34;20;213;1663;20110101
AT1;AT13;AT130;91001;1010;2;8396;715;611;118;149;262;61;103;110;53;671;5543;20110101
AT1;AT13;AT130;91001;1011;2;4540;226;407;49;67;56;24;26;60;19;419;3187;20110101
AT1;AT13;AT130;91001;1012;2;1237;48;33;28;42;35;10;22;8;12;209;790;20110101
AT1;AT13;AT130;91001;1013;2;2630;165;83;40;23;32;18;16;45;14;105;2089;20110101
AT1;AT13;AT130;91001;1014;2;2190;102;56;43;21;17;11;12;26;18;84;1800;20110101
AT1;AT13;AT130;91001;1015;2;2847;136;91;40;62;99;51;30;28;20;182;2108;20110101
AT1;AT13;AT130;91001;1016;2;3118;100;60;50;36;23;9;23;56;27;190;2544;20110101
AT1;AT13;AT130;91001;1017;2;450;8;3;6;1;0;0;1;2;4;13;412;20110101
AT1;AT13;AT130;91001;1018;2;2234;55;16;42;38;25;11;17;19;18;116;1877;20110101
AT1;AT13;AT130;91001;1019;2;1376;59;18;35;24;8;6;18;14;15;84;1095;20110101
AT1;AT13;AT130;91001;1020;2;5240;177;289;86;78;33;20;42;80;33;209;4193;20110101
AT1;AT13;AT130;91001;1021;2;3570;93;96;52;83;26;22;15;33;26;205;2919;20110101
AT1;AT13;AT130;91001;1022;2;3257;306;210;60;152;138;46;98;41;37;471;1698;20110101
AT1;AT13;AT130;91001;1023;2;4891;473;413;71;100;142;75;115;59;29;456;2958;20110101
AT1;AT13;AT130;91001;1099;2;264;8;7;3;11;2;0;1;0;0;13;219;20110101
AT1;AT13;AT130;91101;1101;2;863;28;11;49;17;8;8;19;11;21;157;534;20110101
AT1;AT13;AT130;91101;1102;2;6922;680;417;97;147;183;76;131;78;65;738;4310;20110101
AT1;AT13;AT130;91101;1103;2;8131;771;642;127;236;256;166;170;79;84;926;4674;20110101
AT1;AT13;AT130;91101;1104;2;2256;221;129;22;61;68;25;27;25;15;223;1440;20110101
AT1;AT13;AT130;91101;1105;2;5302;283;238;83;117;97;39;63;50;34;390;3908;20110101
AT1;AT13;AT130;91101;1106;2;157;12;9;0;1;2;2;1;1;1;5;123;20110101
AT1;AT13;AT130;91101;1107;2;3495;183;170;57;66;50;29;39;50;28;201;2622;20110101
AT1;AT13;AT130;91101;1108;2;431;8;1;4;7;8;4;0;3;2;18;376;20110101
AT1;AT13;AT130;91101;1109;2;1255;44;10;31;33;7;8;34;10;15;55;1008;20110101
AT1;AT13;AT130;91101;1110;2;13178;589;691;201;313;295;113;249;129;107;940;9551;20110101
AT1;AT13;AT130;91101;1111;2;2241;90;76;26;46;43;15;66;25;52;484;1318;20110101
AT1;AT13;AT130;91101;1112;2;160;4;2;3;0;4;2;11;0;3;4;127;20110101
AT1;AT13;AT130;91101;1113;2;2181;98;55;54;75;25;29;27;30;22;147;1619;20110101
AT1;AT13;AT130;91101;1199;2;72;1;0;1;0;0;0;0;0;1;0;69;20110101
AT1;AT13;AT130;91201;1201;2;1986;198;114;43;53;67;34;33;27;21;296;1100;20110101
AT1;AT13;AT130;91201;1202;2;8947;954;547;170;337;301;155;151;94;83;1070;5085;20110101
AT1;AT13;AT130;91201;1203;2;2580;223;236;34;52;58;25;39;29;18;325;1541;20110101
AT1;AT13;AT130;91201;1204;2;4251;427;239;105;131;119;79;114;43;53;544;2397;20110101
AT1;AT13;AT130;91201;1205;2;4278;363;272;95;118;119;64;66;53;37;463;2628;20110101
AT1;AT13;AT130;91201;1206;2;4467;479;164;195;146;127;80;79;52;61;476;2608;20110101
AT1;AT13;AT130;91201;1207;2;3578;195;170;75;75;44;37;40;44;33;317;2548;20110101
AT1;AT13;AT130;91201;1208;2;2219;220;136;37;69;90;47;19;38;17;197;1349;20110101
AT1;AT13;AT130;91201;1209;2;4084;278;353;30;65;75;22;32;29;24;575;2601;20110101
AT1;AT13;AT130;91201;1210;2;4768;208;210;95;108;149;74;60;49;39;420;3356;20110101
AT1;AT13;AT130;91201;1211;2;5068;145;81;143;84;49;38;60;69;39;332;4028;20110101
AT1;AT13;AT130;91201;1299;2;42;0;0;0;2;1;0;0;0;0;0;39;20110101
AT1;AT13;AT130;91301;1301;2;243;14;1;18;0;2;1;5;7;2;14;179;20110101
AT1;AT13;AT130;91301;1302;2;3330;68;21;224;59;14;20;19;42;29;383;2451;20110101
AT1;AT13;AT130;91301;1303;2;4815;152;37;246;85;40;18;39;75;64;489;3570;20110101
AT1;AT13;AT130;91301;1304;2;5572;107;40;242;103;23;36;37;110;62;477;4335;20110101
AT1;AT13;AT130;91301;1305;2;2310;74;7;102;33;13;8;22;38;15;190;1808;20110101
AT1;AT13;AT130;91301;1306;2;1359;36;4;62;27;11;8;9;12;12;128;1050;20110101
AT1;AT13;AT130;91301;1307;2;1771;67;37;56;27;30;7;9;42;24;143;1329;20110101
AT1;AT13;AT130;91301;1308;2;3539;84;29;123;47;20;13;29;70;46;304;2774;20110101
AT1;AT13;AT130;91301;1309;2;2895;97;46;62;45;13;7;18;65;19;232;2291;20110101
AT1;AT13;AT130;91301;1310;2;28;0;2;0;0;1;0;0;0;0;0;25;20110101
AT1;AT13;AT130;91301;1311;2;2257;16;0;77;26;3;5;8;42;6;164;1910;20110101
AT1;AT13;AT130;91301;1399;2;25;0;0;1;0;0;0;0;0;0;3;21;20110101
AT1;AT13;AT130;91401;1401;2;3397;289;102;87;101;75;59;34;41;22;280;2307;20110101
AT1;AT13;AT130;91401;1402;2;4245;591;294;114;184;153;99;119;45;38;427;2181;20110101
AT1;AT13;AT130;91401;1403;2;4581;274;87;203;104;60;44;53;60;51;442;3203;20110101
AT1;AT13;AT130;91401;1404;2;10153;842;353;210;269;276;149;173;133;94;816;6838;20110101
AT1;AT13;AT130;91401;1405;2;2151;97;48;52;35;27;7;17;24;16;106;1722;20110101
AT1;AT13;AT130;91401;1406;2;6414;351;145;157;151;118;71;82;94;52;532;4661;20110101
AT1;AT13;AT130;91401;1407;2;1577;125;63;18;35;32;18;16;17;3;118;1132;20110101
AT1;AT13;AT130;91401;1408;2;2054;63;24;46;20;17;14;13;29;17;138;1673;20110101
AT1;AT13;AT130;91401;1409;2;109;4;1;1;1;2;2;5;1;2;3;87;20110101
AT1;AT13;AT130;91401;1410;2;3849;104;35;128;47;30;29;38;53;28;281;3076;20110101
AT1;AT13;AT130;91401;1411;2;3337;18;9;124;29;4;7;16;78;28;186;2838;20110101
AT1;AT13;AT130;91401;1412;2;2911;55;20;96;34;19;16;11;34;15;188;2423;20110101
AT1;AT13;AT130;91401;1499;2;115;2;0;3;4;3;0;2;1;0;4;96;20110101
AT1;AT13;AT130;91501;1501;2;5356;541;289;139;145;172;84;85;71;66;538;3226;20110101
AT1;AT13;AT130;91501;1502;2;4643;654;316;132;203;199;136;106;29;56;628;2184;20110101
AT1;AT13;AT130;91501;1503;2;5839;793;404;168;175;239;162;145;47;82;917;2707;20110101
AT1;AT13;AT130;91501;1504;2;3695;427;308;83;138;137;104;53;35;48;581;1781;20110101
AT1;AT13;AT130;91501;1505;2;5641;539;301;160;137;187;87;140;67;60;678;3285;20110101
AT1;AT13;AT130;91501;1506;2;7052;1040;482;147;290;282;156;183;54;68;809;3541;20110101
AT1;AT13;AT130;91501;1507;2;4487;401;236;74;124;133;72;55;61;36;317;2978;20110101
AT1;AT13;AT130;91501;1599;2;27;0;0;0;1;1;0;3;0;0;18;4;20110101
AT1;AT13;AT130;91601;1601;2;6883;845;598;195;208;203;133;155;55;67;844;3580;20110101
AT1;AT13;AT130;91601;1602;2;4008;632;432;88;163;159;93;110;29;40;559;1703;20110101
AT1;AT13;AT130;91601;1603;2;6273;619;404;100;168;162;98;60;84;45;481;4052;20110101
AT1;AT13;AT130;91601;1604;2;4191;377;221;87;119;103;70;88;48;27;363;2688;20110101
AT1;AT13;AT130;91601;1605;2;7915;919;345;184;272;249;181;159;64;71;718;4753;20110101
AT1;AT13;AT130;91601;1606;2;5305;457;309;102;105;96;57;49;69;20;449;3592;20110101
AT1;AT13;AT130;91601;1607;2;4935;443;266;96;147;101;58;52;47;27;386;3312;20110101
AT1;AT13;AT130;91601;1608;2;1683;42;32;33;24;9;8;10;23;15;68;1419;20110101
AT1;AT13;AT130;91601;1609;2;2799;29;13;102;29;16;17;5;44;15;144;2385;20110101
AT1;AT13;AT130;91601;1610;2;5042;910;567;124;171;204;152;115;45;27;620;2107;20110101
AT1;AT13;AT130;91601;1699;2;253;3;0;4;1;3;1;2;6;0;4;229;20110101
AT1;AT13;AT130;91701;1701;2;5285;616;256;158;193;131;98;123;63;51;625;2971;20110101
AT1;AT13;AT130;91701;1702;2;6989;823;350;182;236;213;121;128;59;64;847;3966;20110101
AT1;AT13;AT130;91701;1703;2;8697;1008;372;222;259;288;180;138;100;78;825;5227;20110101
AT1;AT13;AT130;91701;1704;2;2079;53;12;66;25;10;12;9;40;7;146;1699;20110101
AT1;AT13;AT130;91701;1705;2;3126;113;42;105;37;15;19;9;51;19;240;2476;20110101
AT1;AT13;AT130;91701;1706;2;1281;30;6;50;15;5;4;11;22;17;170;951;20110101
AT1;AT13;AT130;91701;1799;2;53;0;1;2;3;1;0;0;0;0;1;45;20110101
AT1;AT13;AT130;91801;1801;2;1148;8;5;83;6;1;7;8;19;11;172;828;20110101
AT1;AT13;AT130;91801;1802;2;7499;417;165;336;168;84;64;88;108;77;901;5091;20110101
AT1;AT13;AT130;91801;1803;2;7706;707;229;329;230;156;143;154;78;83;892;4705;20110101
AT1;AT13;AT130;91801;1804;2;4759;168;53;177;82;42;17;48;58;53;514;3547;20110101
AT1;AT13;AT130;91801;1805;2;4944;76;20;245;46;12;17;28;84;52;612;3752;20110101
AT1;AT13;AT130;91801;1899;2;1;0;0;1;0;0;0;0;0;0;0;0;20110101
AT1;AT13;AT130;91901;1901;2;3071;78;35;153;50;17;11;17;55;44;351;2260;20110101
AT1;AT13;AT130;91901;1902;2;5210;301;155;123;100;55;50;40;81;58;609;3638;20110101
AT1;AT13;AT130;91901;1903;2;132;2;5;3;3;3;3;1;0;5;24;83;20110101
AT1;AT13;AT130;91901;1904;2;7298;283;157;284;137;72;59;71;111;88;1054;4982;20110101
AT1;AT13;AT130;91901;1905;2;3872;120;36;182;54;31;27;39;54;64;562;2703;20110101
AT1;AT13;AT130;91901;1906;2;2603;22;14;103;27;16;9;12;47;25;395;1933;20110101
AT1;AT13;AT130;91901;1907;2;1556;23;10;74;17;3;4;18;29;18;194;1166;20110101
AT1;AT13;AT130;91901;1908;2;6925;253;104;222;153;51;40;50;148;82;701;5121;20110101
