Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92301;2310;2;2776;135;63;46;37;25;16;33;35;20;179;2187;20110101
AT1;AT13;AT130;92301;2311;2;3761;146;63;109;63;47;36;26;43;40;276;2912;20110101
AT1;AT13;AT130;92301;2312;2;2872;126;48;74;42;21;15;15;35;31;177;2288;20110101
AT1;AT13;AT130;92301;2313;2;2230;18;6;68;24;10;4;15;53;8;129;1895;20110101
AT1;AT13;AT130;92301;2314;2;2489;50;18;100;34;14;11;11;31;10;152;2058;20110101
AT1;AT13;AT130;92301;2315;2;1137;12;3;62;20;4;6;7;12;11;71;929;20110101
AT1;AT13;AT130;92301;2316;2;1239;22;14;49;17;5;5;7;50;9;86;975;20110101
AT1;AT13;AT130;92301;2317;2;115;10;3;4;2;0;1;1;2;1;17;74;20110101
AT1;AT13;AT130;92301;2318;2;2870;70;86;40;59;18;18;17;21;21;139;2381;20110101
AT1;AT13;AT130;92301;2319;2;5271;98;80;103;135;30;27;40;100;62;336;4260;20110101
AT1;AT13;AT130;92301;2399;2;51;1;3;0;3;1;1;0;2;0;5;35;20110101
AT1;AT13;AT130;90101;0101;1;1939;49;9;119;25;6;16;19;21;23;355;1297;20110101
AT1;AT13;AT130;90101;0102;1;771;28;1;44;9;2;5;7;15;5;160;495;20110101
AT1;AT13;AT130;90101;0103;1;1026;40;13;46;7;9;7;11;10;16;214;653;20110101
AT1;AT13;AT130;90101;0104;1;740;21;6;32;5;2;4;6;9;7;122;526;20110101
AT1;AT13;AT130;90101;0105;1;1046;25;8;53;5;1;18;5;16;7;176;732;20110101
AT1;AT13;AT130;90101;0106;1;1294;31;5;73;11;9;13;10;13;10;203;916;20110101
AT1;AT13;AT130;90101;0107;1;1327;35;11;59;7;7;20;15;18;27;260;868;20110101
AT1;AT13;AT130;90201;0201;1;4834;257;287;82;99;125;48;34;36;30;637;3199;20110101
AT1;AT13;AT130;90201;0202;1;5680;725;436;184;197;183;99;112;29;56;913;2746;20110101
AT1;AT13;AT130;90201;0203;1;6143;401;238;243;121;82;99;79;41;56;938;3845;20110101
AT1;AT13;AT130;90201;0204;1;7158;480;288;300;125;120;85;94;41;85;1313;4227;20110101
AT1;AT13;AT130;90201;0205;1;4403;245;121;197;194;62;44;49;45;41;838;2567;20110101
AT1;AT13;AT130;90201;0206;1;3071;178;99;104;96;29;27;40;31;19;303;2145;20110101
AT1;AT13;AT130;90201;0207;1;6735;858;429;252;270;143;109;138;63;58;1235;3180;20110101
AT1;AT13;AT130;90201;0208;1;924;48;16;19;13;10;4;4;8;13;99;690;20110101
AT1;AT13;AT130;90201;0209;1;7617;631;574;123;197;136;61;120;60;57;1040;4618;20110101
AT1;AT13;AT130;90201;0210;1;2;0;0;0;0;0;0;0;0;0;2;0;20110101
AT1;AT13;AT130;90201;0299;1;44;9;7;0;1;0;1;2;0;0;3;21;20110101
AT1;AT13;AT130;90301;0301;1;5323;315;118;245;125;82;52;65;56;63;698;3504;20110101
AT1;AT13;AT130;90301;0302;1;4045;141;41;193;43;43;34;29;28;39;464;2990;20110101
AT1;AT13;AT130;90301;0303;1;2860;99;33;175;38;16;21;22;27;33;519;1877;20110101
AT1;AT13;AT130;90301;0304;1;5164;470;201;213;213;136;106;73;36;71;894;2751;20110101
AT1;AT13;AT130;90301;0305;1;3810;211;110;179;105;63;50;70;38;40;495;2449;20110101
AT1;AT13;AT130;90301;0306;1;7094;507;370;197;157;130;100;83;58;62;877;4553;20110101
AT1;AT13;AT130;90301;0307;1;2456;166;159;54;63;42;22;90;26;35;318;1481;20110101
AT1;AT13;AT130;90301;0308;1;879;11;8;36;2;2;1;3;13;6;66;731;20110101
AT1;AT13;AT130;90301;0309;1;4016;161;62;185;66;46;26;27;46;40;503;2854;20110101
AT1;AT13;AT130;90301;0310;1;3802;340;276;111;106;87;61;50;38;48;538;2147;20110101
AT1;AT13;AT130;90301;0311;1;1116;76;62;16;31;17;10;8;8;10;145;733;20110101
AT1;AT13;AT130;90401;0401;1;1136;33;15;70;19;11;18;16;10;9;256;679;20110101
AT1;AT13;AT130;90401;0402;1;4645;200;118;289;76;50;39;49;36;56;836;2896;20110101
AT1;AT13;AT130;90401;0403;1;5696;261;118;295;94;72;54;57;55;58;888;3744;20110101
AT1;AT13;AT130;90401;0404;1;3194;158;87;168;47;37;29;33;17;34;482;2102;20110101
AT1;AT13;AT130;90501;0501;1;5484;320;167;307;103;79;69;64;52;66;688;3569;20110101
AT1;AT13;AT130;90501;0502;1;9521;842;678;281;260;237;143;133;71;66;1518;5292;20110101
AT1;AT13;AT130;90501;0503;1;8112;866;578;290;266;227;120;114;59;76;1271;4245;20110101
AT1;AT13;AT130;90501;0504;1;3024;205;107;159;83;68;53;42;19;40;533;1715;20110101
AT1;AT13;AT130;90501;0599;1;2;0;0;0;0;0;1;0;0;0;1;0;20110101
AT1;AT13;AT130;90601;0601;1;3513;125;62;184;64;32;30;15;26;43;537;2395;20110101
AT1;AT13;AT130;90601;0602;1;4391;241;175;221;123;72;44;38;29;41;796;2611;20110101
AT1;AT13;AT130;90601;0603;1;6198;265;170;319;116;107;63;45;49;64;886;4114;20110101
AT1;AT13;AT130;90601;0699;1;3;0;0;1;0;0;0;0;0;0;0;2;20110101
AT1;AT13;AT130;90701;0701;1;2663;132;65;171;42;30;29;18;14;19;376;1767;20110101
AT1;AT13;AT130;90701;0702;1;1310;32;23;93;20;14;7;11;7;18;178;907;20110101
AT1;AT13;AT130;90701;0703;1;2156;94;43;121;19;27;23;27;13;17;262;1510;20110101
AT1;AT13;AT130;90701;0704;1;4652;217;124;267;81;78;51;44;30;38;685;3037;20110101
AT1;AT13;AT130;90701;0705;1;3692;242;121;209;86;62;48;38;22;34;533;2297;20110101
AT1;AT13;AT130;90701;0799;1;2;0;0;1;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;90801;0801;1;2990;142;63;136;63;42;29;99;18;41;683;1674;20110101
AT1;AT13;AT130;90801;0802;1;5074;175;80;322;78;42;29;37;44;39;704;3524;20110101
AT1;AT13;AT130;90801;0803;1;3586;164;69;197;61;43;30;25;23;44;521;2409;20110101
AT1;AT13;AT130;90801;0899;1;7;0;0;0;0;0;0;0;0;0;1;6;20110101
AT1;AT13;AT130;90901;0901;1;3935;242;134;197;56;76;50;46;26;35;520;2553;20110101
AT1;AT13;AT130;90901;0902;1;5288;260;73;293;151;60;47;28;39;50;908;3379;20110101
AT1;AT13;AT130;90901;0903;1;1938;122;73;107;63;29;23;30;14;29;267;1181;20110101
AT1;AT13;AT130;90901;0904;1;4405;267;121;252;103;92;93;36;33;47;677;2684;20110101
AT1;AT13;AT130;90901;0905;1;2484;46;31;171;24;12;5;19;17;19;446;1694;20110101
AT1;AT13;AT130;90901;0906;1;967;32;6;65;8;10;5;6;9;4;174;648;20110101
AT1;AT13;AT130;91001;1001;1;467;43;71;6;20;23;16;20;0;2;50;216;20110101
AT1;AT13;AT130;91001;1002;1;9377;1008;1068;131;251;297;182;151;46;99;1305;4839;20110101
AT1;AT13;AT130;91001;1003;1;3325;298;307;58;94;119;54;28;30;41;320;1976;20110101
AT1;AT13;AT130;91001;1004;1;3863;546;400;90;143;152;80;73;30;30;602;1717;20110101
AT1;AT13;AT130;91001;1005;1;8699;988;1024;127;235;349;186;169;43;78;1058;4442;20110101
AT1;AT13;AT130;91001;1006;1;6048;779;905;95;237;322;137;131;33;39;875;2495;20110101
AT1;AT13;AT130;91001;1007;1;5578;502;394;89;180;197;97;90;54;46;599;3330;20110101
AT1;AT13;AT130;91001;1008;1;4703;531;518;93;171;225;96;105;27;51;653;2233;20110101
AT1;AT13;AT130;91001;1009;1;2263;163;166;22;37;69;24;21;11;21;201;1528;20110101
AT1;AT13;AT130;91001;1010;1;7519;630;674;86;101;222;71;54;68;25;665;4923;20110101
AT1;AT13;AT130;91001;1011;1;4313;186;404;37;37;46;19;16;25;22;411;3110;20110101
AT1;AT13;AT130;91001;1012;1;1212;36;32;37;20;43;9;12;2;5;161;855;20110101
AT1;AT13;AT130;91001;1013;1;2193;131;89;25;10;20;19;9;27;10;76;1777;20110101
AT1;AT13;AT130;91001;1014;1;1898;85;61;23;15;21;11;9;16;5;80;1572;20110101
AT1;AT13;AT130;91001;1015;1;2578;121;97;32;36;88;58;23;11;12;149;1951;20110101
AT1;AT13;AT130;91001;1016;1;2864;80;59;27;21;22;8;16;28;13;155;2435;20110101
AT1;AT13;AT130;91001;1017;1;438;10;2;4;4;1;2;0;2;6;7;400;20110101
AT1;AT13;AT130;91001;1018;1;2096;49;19;42;29;27;19;10;9;10;129;1753;20110101
AT1;AT13;AT130;91001;1019;1;1255;45;16;27;10;8;6;9;16;15;65;1038;20110101
AT1;AT13;AT130;91001;1020;1;4316;116;287;30;33;35;16;42;41;14;203;3499;20110101
AT1;AT13;AT130;91001;1021;1;3000;67;103;30;51;28;22;13;7;15;167;2497;20110101
AT1;AT13;AT130;91001;1022;1;3132;331;255;68;146;123;48;66;18;42;485;1550;20110101
AT1;AT13;AT130;91001;1023;1;4610;434;436;62;89;120;98;89;39;69;543;2631;20110101
AT1;AT13;AT130;91001;1099;1;269;5;5;1;8;2;1;1;2;0;4;240;20110101
AT1;AT13;AT130;91101;1101;1;911;21;46;34;12;7;10;8;10;6;143;614;20110101
AT1;AT13;AT130;91101;1102;1;6569;617;507;100;121;161;86;113;50;58;772;3984;20110101
AT1;AT13;AT130;91101;1103;1;7995;773;713;129;257;218;181;148;34;76;916;4550;20110101
AT1;AT13;AT130;91101;1104;1;2235;181;147;33;30;58;31;20;13;27;223;1472;20110101
AT1;AT13;AT130;91101;1105;1;4933;225;272;53;86;95;41;50;25;31;300;3755;20110101
AT1;AT13;AT130;91101;1106;1;162;7;6;0;2;4;2;2;0;1;5;133;20110101
AT1;AT13;AT130;91101;1107;1;3005;140;178;34;45;43;38;51;25;28;187;2236;20110101
AT1;AT13;AT130;91101;1108;1;399;10;1;9;4;9;6;1;4;2;15;338;20110101
AT1;AT13;AT130;91101;1109;1;1175;39;7;34;19;18;6;34;7;21;49;941;20110101
AT1;AT13;AT130;91101;1110;1;12047;520;746;159;245;270;158;209;62;69;765;8844;20110101
AT1;AT13;AT130;91101;1111;1;2579;111;81;33;40;34;14;78;28;180;706;1274;20110101
AT1;AT13;AT130;91101;1112;1;244;4;4;2;0;6;2;9;1;8;97;111;20110101
AT1;AT13;AT130;91101;1113;1;2045;71;60;51;71;22;20;21;24;22;149;1534;20110101
AT1;AT13;AT130;91101;1199;1;67;0;0;1;0;0;0;1;0;1;1;63;20110101
AT1;AT13;AT130;91201;1201;1;2016;198;120;52;70;70;36;29;22;20;377;1022;20110101
AT1;AT13;AT130;91201;1202;1;8335;873;603;151;318;286;191;120;47;57;1073;4616;20110101
AT1;AT13;AT130;91201;1203;1;2472;187;245;24;44;43;19;22;18;12;320;1538;20110101
AT1;AT13;AT130;91201;1204;1;4104;422;285;83;154;146;95;90;28;38;555;2208;20110101
AT1;AT13;AT130;91201;1205;1;3895;341;298;84;90;122;60;49;32;36;489;2294;20110101
AT1;AT13;AT130;91201;1206;1;4155;462;177;182;167;143;90;55;29;41;513;2296;20110101
AT1;AT13;AT130;91201;1207;1;2981;161;181;51;45;29;26;28;25;21;266;2148;20110101
AT1;AT13;AT130;91201;1208;1;2121;214;155;39;66;87;55;25;15;10;184;1271;20110101
AT1;AT13;AT130;91201;1209;1;3824;209;330;37;36;76;30;31;22;11;517;2525;20110101
AT1;AT13;AT130;91201;1210;1;4437;187;339;102;81;144;76;44;24;27;420;2993;20110101
AT1;AT13;AT130;91201;1211;1;4175;144;91;105;40;42;29;30;41;20;283;3350;20110101
AT1;AT13;AT130;91201;1299;1;39;0;0;0;0;0;1;0;0;0;0;38;20110101
AT1;AT13;AT130;91301;1301;1;205;8;0;6;0;3;3;3;1;1;20;160;20110101
AT1;AT13;AT130;91301;1302;1;2730;60;32;176;29;7;16;14;24;29;302;2041;20110101
AT1;AT13;AT130;91301;1303;1;4042;132;49;199;57;46;20;30;36;43;429;3001;20110101
AT1;AT13;AT130;91301;1304;1;4522;92;46;165;75;19;27;31;50;44;370;3603;20110101
AT1;AT13;AT130;91301;1305;1;1900;50;14;85;20;9;3;18;28;14;133;1526;20110101
AT1;AT13;AT130;91301;1306;1;1125;21;6;53;19;6;12;7;6;5;98;892;20110101
AT1;AT13;AT130;91301;1307;1;1438;60;34;29;23;21;7;7;19;13;106;1119;20110101
AT1;AT13;AT130;91301;1308;1;2917;82;31;99;24;14;14;20;28;26;248;2331;20110101
AT1;AT13;AT130;91301;1309;1;2262;64;40;35;21;12;8;10;18;17;169;1868;20110101
AT1;AT13;AT130;91301;1310;1;43;2;2;0;0;2;0;0;0;0;1;36;20110101
AT1;AT13;AT130;91301;1311;1;2081;11;2;72;20;2;3;4;18;5;102;1842;20110101
AT1;AT13;AT130;91301;1399;1;26;0;0;1;0;0;0;0;0;0;1;24;20110101
AT1;AT13;AT130;91401;1401;1;3189;280;114;93;92;78;65;25;26;19;282;2115;20110101
AT1;AT13;AT130;91401;1402;1;4115;506;337;110;190;157;109;77;25;28;489;2087;20110101
AT1;AT13;AT130;91401;1403;1;3967;222;90;157;86;67;50;39;34;40;387;2795;20110101
AT1;AT13;AT130;91401;1404;1;9057;760;386;187;268;278;145;122;60;64;857;5930;20110101
AT1;AT13;AT130;91401;1405;1;1971;69;56;37;19;24;11;12;14;9;86;1634;20110101
AT1;AT13;AT130;91401;1406;1;5424;315;152;124;114;111;67;64;47;27;488;3915;20110101
AT1;AT13;AT130;91401;1407;1;1346;103;61;15;18;37;14;10;5;3;96;984;20110101
AT1;AT13;AT130;91401;1408;1;1735;50;25;36;9;17;17;7;16;9;89;1460;20110101
AT1;AT13;AT130;91401;1409;1;170;4;4;4;1;2;2;0;2;0;11;140;20110101
AT1;AT13;AT130;91401;1410;1;3402;92;53;104;36;29;27;23;32;18;241;2747;20110101
AT1;AT13;AT130;91401;1411;1;3015;15;11;97;20;4;9;11;39;14;153;2642;20110101
AT1;AT13;AT130;91401;1412;1;2791;56;29;80;27;16;20;9;22;9;152;2371;20110101
AT1;AT13;AT130;91401;1499;1;98;0;0;2;0;1;0;1;1;0;7;86;20110101
AT1;AT13;AT130;91501;1501;1;5062;476;366;147;154;157;90;85;39;40;552;2956;20110101
AT1;AT13;AT130;91501;1502;1;4911;677;400;135;256;202;136;69;24;83;712;2217;20110101
AT1;AT13;AT130;91501;1503;1;5870;816;472;181;186;227;206;135;21;78;988;2560;20110101
AT1;AT13;AT130;91501;1504;1;3869;429;304;101;144;166;124;75;27;39;701;1759;20110101
AT1;AT13;AT130;91501;1505;1;5250;494;358;133;128;195;99;108;27;54;758;2896;20110101
AT1;AT13;AT130;91501;1506;1;6937;1024;568;156;316;249;210;175;31;44;793;3371;20110101
AT1;AT13;AT130;91501;1507;1;3928;303;250;79;131;110;69;44;36;25;317;2564;20110101
AT1;AT13;AT130;91501;1599;1;26;1;0;1;0;0;0;1;0;1;17;5;20110101
AT1;AT13;AT130;91601;1601;1;6633;808;674;161;194;217;154;138;40;55;895;3297;20110101
AT1;AT13;AT130;91601;1602;1;4184;657;390;111;229;158;109;109;14;43;645;1719;20110101
AT1;AT13;AT130;91601;1603;1;5813;476;544;89;126;146;110;44;38;36;485;3719;20110101
AT1;AT13;AT130;91601;1604;1;3889;345;263;89;109;110;80;85;24;23;393;2368;20110101
AT1;AT13;AT130;91601;1605;1;7490;895;407;215;279;250;226;128;46;72;812;4160;20110101
AT1;AT13;AT130;91601;1606;1;4888;409;366;82;126;103;65;50;33;20;424;3210;20110101
AT1;AT13;AT130;91601;1607;1;4549;388;267;79;163;120;54;52;25;21;409;2971;20110101
AT1;AT13;AT130;91601;1608;1;1307;37;34;17;7;4;4;4;11;5;56;1128;20110101
AT1;AT13;AT130;91601;1609;1;2351;22;12;53;14;19;10;4;23;8;80;2106;20110101
AT1;AT13;AT130;91601;1610;1;5261;887;689;123;237;217;165;98;15;20;741;2069;20110101
AT1;AT13;AT130;91601;1699;1;230;3;1;8;0;5;0;1;0;3;3;206;20110101
AT1;AT13;AT130;91701;1701;1;5107;636;312;149;223;139;111;95;30;41;672;2699;20110101
AT1;AT13;AT130;91701;1702;1;6756;845;431;217;243;236;138;73;34;44;889;3606;20110101
AT1;AT13;AT130;91701;1703;1;8542;958;428;183;298;272;200;110;53;89;911;5040;20110101
AT1;AT13;AT130;91701;1704;1;1568;29;11;63;13;19;8;8;9;8;116;1284;20110101
AT1;AT13;AT130;91701;1705;1;2666;88;42;74;26;7;20;9;31;16;191;2162;20110101
AT1;AT13;AT130;91701;1706;1;1118;28;8;42;7;4;1;3;10;8;111;896;20110101
AT1;AT13;AT130;91701;1799;1;45;1;3;2;3;0;0;0;0;0;2;34;20110101
AT1;AT13;AT130;91801;1801;1;873;10;8;60;5;1;4;6;7;14;137;621;20110101
AT1;AT13;AT130;91801;1802;1;6403;324;194;314;154;79;78;74;53;61;782;4290;20110101
AT1;AT13;AT130;91801;1803;1;6941;698;311;269;227;129;160;113;36;50;889;4059;20110101
AT1;AT13;AT130;91801;1804;1;4158;154;50;170;66;45;17;31;29;43;404;3149;20110101
AT1;AT13;AT130;91801;1805;1;3942;67;26;213;31;17;16;13;49;44;474;2992;20110101
AT1;AT13;AT130;91801;1899;1;1;0;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;91901;1901;1;2621;63;41;109;36;15;14;23;25;33;343;1919;20110101
AT1;AT13;AT130;91901;1902;1;4357;271;174;84;78;54;36;28;47;31;550;3004;20110101
AT1;AT13;AT130;91901;1903;1;134;4;18;0;0;0;2;1;1;1;17;90;20110101
AT1;AT13;AT130;91901;1904;1;6148;243;185;243;111;56;52;43;61;61;974;4119;20110101
AT1;AT13;AT130;91901;1905;1;3154;94;46;148;40;25;17;26;32;37;477;2212;20110101
AT1;AT13;AT130;91901;1906;1;2360;32;13;99;18;14;13;5;23;20;350;1773;20110101
AT1;AT13;AT130;91901;1907;1;1309;15;10;52;9;2;5;7;6;14;161;1028;20110101
AT1;AT13;AT130;91901;1908;1;5703;184;114;153;103;39;35;26;67;43;622;4317;20110101
AT1;AT13;AT130;91901;1909;1;2060;41;95;104;33;28;14;21;12;32;474;1206;20110101
AT1;AT13;AT130;91901;1910;1;3762;54;31;163;27;23;10;18;36;33;397;2970;20110101
AT1;AT13;AT130;91901;1999;1;9;0;0;0;0;0;0;0;0;0;2;7;20110101
AT1;AT13;AT130;92001;2001;1;3893;299;331;43;67;116;49;32;27;22;427;2480;20110101
AT1;AT13;AT130;92001;2002;1;7810;869;781;122;224;222;105;137;35;71;1203;4041;20110101
AT1;AT13;AT130;92001;2003;1;6665;703;688;175;151;225;133;110;39;57;871;3513;20110101
AT1;AT13;AT130;92001;2004;1;4493;269;296;82;106;103;61;48;25;30;760;2713;20110101
AT1;AT13;AT130;92001;2005;1;5663;657;531;141;175;154;110;186;27;75;959;2648;20110101
AT1;AT13;AT130;92001;2006;1;4021;279;422;64;77;79;60;47;32;22;488;2451;20110101
AT1;AT13;AT130;92001;2007;1;6026;421;519;88;137;131;84;73;39;52;715;3767;20110101
AT1;AT13;AT130;92001;2008;1;2636;329;236;44;96;81;58;51;20;15;322;1384;20110101
AT1;AT13;AT130;92001;2099;1;38;4;0;0;2;0;0;0;0;0;2;30;20110101
AT1;AT13;AT130;92101;2101;1;642;17;1;8;2;1;1;2;7;1;15;587;20110101
AT1;AT13;AT130;92101;2102;1;3348;79;24;55;91;45;28;15;26;22;233;2730;20110101
AT1;AT13;AT130;92101;2103;1;2564;57;31;31;47;15;14;16;18;13;159;2163;20110101
AT1;AT13;AT130;92101;2104;1;1898;38;18;23;21;6;6;23;21;7;106;1629;20110101
AT1;AT13;AT130;92101;2105;1;8398;343;448;80;106;68;42;83;68;21;831;6308;20110101
AT1;AT13;AT130;92101;2106;1;411;44;4;2;2;8;6;7;3;4;21;310;20110101
AT1;AT13;AT130;92101;2107;1;1684;83;49;34;26;19;8;18;11;20;153;1263;20110101
AT1;AT13;AT130;92101;2108;1;1121;33;27;15;14;7;7;5;8;6;63;936;20110101
AT1;AT13;AT130;92101;2109;1;3274;90;69;56;110;19;8;20;37;14;208;2643;20110101
AT1;AT13;AT130;92101;2110;1;2637;128;66;28;35;39;29;21;20;4;218;2049;20110101
AT1;AT13;AT130;92101;2111;1;2218;72;43;39;59;37;32;18;17;10;265;1626;20110101
AT1;AT13;AT130;92101;2112;1;3477;145;259;28;66;26;18;31;15;8;322;2559;20110101
AT1;AT13;AT130;92101;2113;1;2165;34;18;45;22;11;12;15;13;9;130;1856;20110101
AT1;AT13;AT130;92101;2114;1;2362;74;64;25;25;21;11;22;28;12;134;1946;20110101
AT1;AT13;AT130;92101;2115;1;1875;54;36;30;36;15;13;7;19;25;111;1529;20110101
AT1;AT13;AT130;92101;2116;1;1606;25;3;29;17;0;3;14;19;6;32;1458;20110101
AT1;AT13;AT130;92101;2117;1;3002;164;187;39;60;35;23;20;28;10;266;2170;20110101
AT1;AT13;AT130;92101;2118;1;3476;204;150;63;71;62;49;52;35;27;344;2419;20110101
AT1;AT13;AT130;92101;2119;1;1543;98;41;12;39;21;17;18;7;14;146;1130;20110101
AT1;AT13;AT130;92101;2120;1;788;58;34;13;33;37;20;4;8;5;91;485;20110101
AT1;AT13;AT130;92101;2121;1;3147;319;108;44;85;66;34;51;27;57;326;2030;20110101
AT1;AT13;AT130;92101;2122;1;3873;145;209;71;90;55;45;51;42;40;480;2645;20110101
AT1;AT13;AT130;92101;2123;1;4766;305;152;106;171;81;54;67;48;50;623;3109;20110101
AT1;AT13;AT130;92101;2124;1;1397;40;30;24;33;15;9;16;25;6;126;1073;20110101
AT1;AT13;AT130;92101;2125;1;1999;51;32;43;49;24;9;21;7;10;218;1535;20110101
AT1;AT13;AT130;92101;2126;1;3232;106;101;64;65;51;35;14;21;28;279;2468;20110101
AT1;AT13;AT130;92101;2127;1;746;12;5;17;6;5;4;3;18;1;98;577;20110101
AT1;AT13;AT130;92101;2128;1;166;21;14;6;9;6;5;0;1;0;36;68;20110101
AT1;AT13;AT130;92101;2129;1;4;0;0;0;0;0;0;0;0;0;1;3;20110101
AT1;AT13;AT130;92101;2130;1;12;0;0;0;3;0;0;1;0;1;2;5;20110101
AT1;AT13;AT130;92101;2199;1;301;5;0;4;2;2;0;0;0;1;3;284;20110101
AT1;AT13;AT130;92201;2201;1;1029;16;20;21;18;5;8;12;5;6;85;833;20110101
AT1;AT13;AT130;92201;2202;1;2132;66;31;28;33;23;18;22;10;4;214;1683;20110101
AT1;AT13;AT130;92201;2203;1;670;23;4;10;3;1;4;10;15;5;36;559;20110101
AT1;AT13;AT130;92201;2204;1;1924;29;24;29;39;8;7;14;26;18;71;1659;20110101
AT1;AT13;AT130;92201;2205;1;2462;33;17;32;37;8;7;15;25;11;140;2137;20110101
AT1;AT13;AT130;92201;2206;1;5401;169;175;64;87;35;13;27;32;9;453;4337;20110101
AT1;AT13;AT130;92201;2207;1;2255;32;8;47;40;15;14;19;21;11;152;1896;20110101
AT1;AT13;AT130;92201;2208;1;7237;330;257;85;202;136;65;102;56;17;1001;4986;20110101
AT1;AT13;AT130;92201;2209;1;6332;252;247;100;127;62;50;55;55;27;693;4664;20110101
AT1;AT13;AT130;92201;2210;1;2844;59;49;38;51;21;34;37;15;10;456;2074;20110101
AT1;AT13;AT130;92201;2211;1;5182;197;128;87;120;64;47;74;56;42;605;3762;20110101
AT1;AT13;AT130;92201;2212;1;1632;71;87;20;30;11;11;8;18;11;232;1133;20110101
AT1;AT13;AT130;92201;2213;1;2993;116;89;39;45;25;23;18;25;9;307;2297;20110101
AT1;AT13;AT130;92201;2214;1;2340;37;31;29;19;5;5;7;18;4;106;2079;20110101
AT1;AT13;AT130;92201;2215;1;3918;155;194;43;60;29;14;42;46;27;329;2979;20110101
AT1;AT13;AT130;92201;2216;1;566;23;20;8;8;8;9;2;3;7;43;435;20110101
AT1;AT13;AT130;92201;2217;1;569;5;8;10;8;0;2;2;1;5;33;495;20110101
AT1;AT13;AT130;92201;2218;1;2365;64;48;33;35;23;18;21;24;6;174;1919;20110101
AT1;AT13;AT130;92201;2219;1;2828;198;104;54;50;46;31;35;26;27;331;1926;20110101
AT1;AT13;AT130;92201;2220;1;1421;57;65;22;12;12;8;16;9;14;177;1029;20110101
AT1;AT13;AT130;92201;2221;1;524;21;6;11;5;3;0;3;6;2;33;434;20110101
AT1;AT13;AT130;92201;2222;1;2797;48;17;32;168;26;19;24;26;11;258;2168;20110101
AT1;AT13;AT130;92201;2223;1;2129;63;26;44;38;13;12;21;15;13;241;1643;20110101
AT1;AT13;AT130;92201;2224;1;2792;39;15;46;91;22;15;22;21;20;191;2310;20110101
AT1;AT13;AT130;92201;2225;1;883;13;3;13;6;2;8;6;10;3;50;769;20110101
AT1;AT13;AT130;92201;2226;1;1856;32;5;37;12;5;1;10;33;12;121;1588;20110101
AT1;AT13;AT130;92201;2227;1;3106;47;15;73;37;16;8;26;22;19;216;2627;20110101
AT1;AT13;AT130;92201;2228;1;1732;38;20;31;22;11;8;10;10;13;145;1424;20110101
AT1;AT13;AT130;92201;2229;1;1632;53;32;26;13;5;5;8;24;10;143;1313;20110101
AT1;AT13;AT130;92201;2230;1;13;1;0;0;0;2;0;0;0;0;2;8;20110101
AT1;AT13;AT130;92201;2231;1;47;2;0;3;0;1;0;0;1;0;2;38;20110101
AT1;AT13;AT130;92201;2232;1;2104;79;33;44;91;69;24;20;16;9;439;1280;20110101
AT1;AT13;AT130;92201;2299;1;418;10;5;8;4;0;1;1;4;6;20;359;20110101
AT1;AT13;AT130;92301;2301;1;1156;79;17;24;17;11;14;17;12;10;105;850;20110101
AT1;AT13;AT130;92301;2302;1;2152;173;46;33;48;57;41;24;11;11;170;1538;20110101
AT1;AT13;AT130;92301;2303;1;1666;36;14;25;12;10;10;8;10;13;108;1420;20110101
AT1;AT13;AT130;92301;2304;1;3458;118;126;44;53;121;77;31;21;28;265;2574;20110101
AT1;AT13;AT130;92301;2305;1;4264;147;167;65;92;73;46;44;31;22;330;3247;20110101
AT1;AT13;AT130;92301;2306;1;447;26;3;10;11;8;6;4;1;1;14;363;20110101
AT1;AT13;AT130;92301;2307;1;4066;187;159;73;57;79;65;43;27;24;279;3073;20110101
AT1;AT13;AT130;92301;2308;1;1902;46;64;45;26;13;17;13;18;27;129;1504;20110101
AT1;AT13;AT130;92301;2309;1;3126;68;60;82;28;44;22;28;48;20;178;2548;20110101
AT1;AT13;AT130;92301;2310;1;2384;108;58;44;27;23;20;16;18;15;129;1926;20110101
AT1;AT13;AT130;92301;2311;1;3282;115;88;98;59;46;25;15;22;25;200;2589;20110101
AT1;AT13;AT130;92301;2312;1;2596;115;60;73;33;17;11;14;16;18;148;2091;20110101
AT1;AT13;AT130;92301;2313;1;1939;14;7;51;14;7;2;7;29;5;88;1715;20110101
AT1;AT13;AT130;92301;2314;1;2254;37;19;75;21;16;5;10;28;8;125;1910;20110101
AT1;AT13;AT130;92301;2315;1;990;5;6;48;13;1;6;3;14;9;44;841;20110101
AT1;AT13;AT130;92301;2316;1;978;21;13;35;14;4;3;8;17;3;57;803;20110101
AT1;AT13;AT130;92301;2317;1;128;7;4;7;3;1;0;0;1;1;20;84;20110101
