Bevölkerung in den Gemeinden Tirols nach Altersgruppen, Staatsangehörigkeit, Geburtsland und Migrationshintergrund;;;;;;;;;;;
Population in the municipalities of Tyrol by age, nationality, country of birth and migration background;;;;;;;;;;;
NUTS3;DISTRICT_CODE;NAME;AGE_GRP;POP_TOTAL;POP_AUT_NATIONALITY;POP_FOR_NATIONALITY;POP_AUT_BORN;POP_FOR_BORN;POP_NOM_BACKGROUND;POP_MIG_BACKGROUND;YEAR
AT332;70353;Sistrans;26_45;577;531;46;518;59;515;62;2010
AT332;70353;Sistrans;46_65;536;497;39;472;64;467;69;2010
AT332;70353;Sistrans;65_00;297;295;2;264;33;264;33;2010
AT332;70354;Hall in Tirol;0_15;2004;1698;306;1835;169;1660;344;2010
AT332;70354;Hall in Tirol;16_25;1481;1228;253;1201;280;1146;335;2010
AT332;70354;Hall in Tirol;26_45;3661;2892;769;2601;1060;2543;1118;2010
AT332;70354;Hall in Tirol;46_65;3175;2711;464;2416;759;2410;765;2010
AT332;70354;Hall in Tirol;65_00;2374;2246;128;1928;446;1921;453;2010
AT332;70355;Steinach/Brenner;0_15;556;508;48;530;26;505;51;2010
AT332;70355;Steinach/Brenner;16_25;434;398;36;400;34;390;44;2010
AT332;70355;Steinach/Brenner;26_45;956;862;94;840;116;834;122;2010
AT332;70355;Steinach/Brenner;46_65;887;819;68;796;91;794;93;2010
AT332;70355;Steinach/Brenner;65_00;526;515;11;476;50;473;53;2010
AT332;70356;Telfes im Stubai;0_15;245;237;8;238;7;232;13;2010
AT332;70356;Telfes im Stubai;16_25;169;165;4;160;9;160;9;2010
AT332;70356;Telfes im Stubai;26_45;447;397;50;389;58;388;59;2010
AT332;70356;Telfes im Stubai;46_65;350;329;21;319;31;319;31;2010
AT332;70356;Telfes im Stubai;65_00;238;230;8;208;30;207;31;2010
AT332;70357;Telfs;0_15;2750;2441;309;2603;147;2388;362;2010
AT332;70357;Telfs;16_25;2041;1755;286;1634;407;1583;458;2010
AT332;70357;Telfs;26_45;4325;3505;820;3126;1199;3078;1247;2010
AT332;70357;Telfs;46_65;3755;3294;461;2963;792;2954;801;2010
AT332;70357;Telfs;65_00;1755;1638;117;1459;296;1451;304;2010
AT332;70358;Thaur;0_15;685;635;50;668;17;633;52;2010
AT332;70358;Thaur;16_25;449;418;31;410;39;408;41;2010
AT332;70358;Thaur;26_45;1161;1049;112;1027;134;1021;140;2010
AT332;70358;Thaur;46_65;950;889;61;864;86;863;87;2010
AT332;70358;Thaur;65_00;515;500;15;473;42;471;44;2010
AT332;70359;Trins;0_15;218;202;16;205;13;200;18;2010
AT332;70359;Trins;16_25;180;164;16;164;16;163;17;2010
AT332;70359;Trins;26_45;365;333;32;328;37;325;40;2010
AT332;70359;Trins;46_65;337;315;22;300;37;299;38;2010
AT332;70359;Trins;65_00;173;165;8;161;12;160;13;2010
AT332;70360;Tulfes;0_15;224;214;10;218;6;212;12;2010
AT332;70360;Tulfes;16_25;186;173;13;165;21;164;22;2010
AT332;70360;Tulfes;26_45;422;376;46;372;50;371;51;2010
AT332;70360;Tulfes;46_65;413;387;26;377;36;377;36;2010
AT332;70360;Tulfes;65_00;148;145;3;131;17;131;17;2010
AT332;70361;Unterperfuss;0_15;17;17;0;17;0;17;0;2010
AT332;70361;Unterperfuss;16_25;17;15;2;13;4;13;4;2010
AT332;70361;Unterperfuss;26_45;45;43;2;44;1;43;2;2010
AT332;70361;Unterperfuss;46_65;41;40;1;40;1;40;1;2010
AT332;70361;Unterperfuss;65_00;78;78;0;72;6;72;6;2010
AT332;70362;Vals;0_15;103;99;4;102;1;99;4;2010
AT332;70362;Vals;16_25;80;77;3;77;3;77;3;2010
AT332;70362;Vals;26_45;160;153;7;150;10;150;10;2010
AT332;70362;Vals;46_65;126;124;2;120;6;120;6;2010
AT332;70362;Vals;65_00;82;81;1;77;5;77;5;2010
AT332;70364;Völs;0_15;905;826;79;856;49;800;105;2010
AT332;70364;Völs;16_25;757;682;75;642;115;629;128;2010
AT332;70364;Völs;26_45;1934;1678;256;1538;396;1519;415;2010
AT332;70364;Völs;46_65;1959;1831;128;1675;284;1672;287;2010
AT332;70364;Völs;65_00;982;958;24;765;217;764;218;2010
AT332;70365;Volders;0_15;719;703;16;706;13;696;23;2010
AT332;70365;Volders;16_25;569;543;26;526;43;521;48;2010
AT332;70365;Volders;26_45;1293;1186;107;1118;175;1114;179;2010
AT332;70365;Volders;46_65;1167;1086;81;1021;146;1020;147;2010
AT332;70365;Volders;65_00;582;563;19;521;61;521;61;2010
AT332;70366;Wattenberg;0_15;150;149;1;149;1;149;1;2010
AT332;70366;Wattenberg;16_25;94;94;0;93;1;93;1;2010
AT332;70366;Wattenberg;26_45;209;205;4;204;5;204;5;2010
AT332;70366;Wattenberg;46_65;163;158;5;155;8;155;8;2010
AT332;70366;Wattenberg;65_00;105;103;2;93;12;92;13;2010
AT332;70367;Wattens;0_15;1147;1067;80;1097;50;1045;102;2010
AT332;70367;Wattens;16_25;953;901;52;879;74;863;90;2010
AT332;70367;Wattens;26_45;2224;1960;264;1764;460;1750;474;2010
AT332;70367;Wattens;46_65;2051;1879;172;1747;304;1741;310;2010
AT332;70367;Wattens;65_00;1250;1214;36;1064;186;1063;187;2010
AT332;70368;Wildermieming;0_15;177;169;8;173;4;167;10;2010
AT332;70368;Wildermieming;16_25;95;95;0;94;1;94;1;2010
AT332;70368;Wildermieming;26_45;253;222;31;213;40;213;40;2010
AT332;70368;Wildermieming;46_65;204;191;13;181;23;181;23;2010
AT332;70368;Wildermieming;65_00;135;131;4;123;12;123;12;2010
AT332;70369;Zirl;0_15;1412;1292;120;1346;66;1277;135;2010
AT332;70369;Zirl;16_25;945;849;96;825;120;808;137;2010
AT332;70369;Zirl;26_45;2439;2144;295;2033;406;2021;418;2010
AT332;70369;Zirl;46_65;1903;1729;174;1610;293;1608;295;2010
AT332;70369;Zirl;65_00;942;911;31;805;137;803;139;2010
AT335;70401;Aurach bei Kitzbühel;0_15;156;146;10;144;12;141;15;2010
AT335;70401;Aurach bei Kitzbühel;16_25;108;105;3;105;3;105;3;2010
AT335;70401;Aurach bei Kitzbühel;26_45;311;274;37;261;50;261;50;2010
AT335;70401;Aurach bei Kitzbühel;46_65;357;310;47;303;54;303;54;2010
AT335;70401;Aurach bei Kitzbühel;65_00;218;193;25;177;41;176;42;2010
AT335;70402;Brixen im Thale;0_15;459;419;40;441;18;412;47;2010
AT335;70402;Brixen im Thale;16_25;316;292;24;289;27;287;29;2010
AT335;70402;Brixen im Thale;26_45;754;661;93;642;112;641;113;2010
AT335;70402;Brixen im Thale;46_65;729;649;80;634;95;633;96;2010
AT335;70402;Brixen im Thale;65_00;418;379;39;358;60;355;63;2010
AT335;70403;Fieberbrunn;0_15;679;618;61;637;42;606;73;2010
AT335;70403;Fieberbrunn;16_25;580;529;51;526;54;519;61;2010
AT335;70403;Fieberbrunn;26_45;1153;996;157;975;178;973;180;2010
AT335;70403;Fieberbrunn;46_65;1125;1026;99;993;132;993;132;2010
AT335;70403;Fieberbrunn;65_00;778;746;32;694;84;692;86;2010
AT335;70404;Going/Wilden Kaiser;0_15;322;294;28;295;27;283;39;2010
AT335;70404;Going/Wilden Kaiser;16_25;243;212;31;208;35;207;36;2010
AT335;70404;Going/Wilden Kaiser;26_45;534;426;108;411;123;410;124;2010
AT335;70404;Going/Wilden Kaiser;46_65;497;406;91;390;107;390;107;2010
AT335;70404;Going/Wilden Kaiser;65_00;255;230;25;211;44;211;44;2010
AT335;70405;Hochfilzen;0_15;182;168;14;176;6;168;14;2010
AT335;70405;Hochfilzen;16_25;141;134;7;132;9;131;10;2010
AT335;70405;Hochfilzen;26_45;307;275;32;265;42;264;43;2010
AT335;70405;Hochfilzen;46_65;309;287;22;276;33;276;33;2010
AT335;70405;Hochfilzen;65_00;184;179;5;160;24;160;24;2010
AT335;70406;Hopfgarten/Brixental;0_15;960;879;81;925;35;871;89;2010
AT335;70406;Hopfgarten/Brixental;16_25;707;656;51;657;50;647;60;2010
AT335;70406;Hopfgarten/Brixental;26_45;1507;1322;185;1291;216;1289;218;2010
AT335;70406;Hopfgarten/Brixental;46_65;1474;1353;121;1312;162;1309;165;2010
AT335;70406;Hopfgarten/Brixental;65_00;896;863;33;826;70;823;73;2010
AT335;70407;Itter;0_15;224;205;19;209;15;202;22;2010
AT335;70407;Itter;16_25;132;122;10;118;14;118;14;2010
AT335;70407;Itter;26_45;348;309;39;310;38;309;39;2010
AT335;70407;Itter;46_65;310;282;28;276;34;276;34;2010
AT335;70407;Itter;65_00;166;160;6;149;17;148;18;2010
AT335;70408;Jochberg;0_15;231;213;18;217;14;213;18;2010
AT335;70408;Jochberg;16_25;175;157;18;151;24;150;25;2010
AT335;70408;Jochberg;26_45;429;373;56;364;65;362;67;2010
AT335;70408;Jochberg;46_65;440;395;45;376;64;376;64;2010
AT335;70408;Jochberg;65_00;285;256;29;244;41;243;42;2010
AT335;70409;Kirchberg in Tirol;0_15;792;696;96;726;66;675;117;2010
AT335;70409;Kirchberg in Tirol;16_25;611;534;77;522;89;511;100;2010
AT335;70409;Kirchberg in Tirol;26_45;1419;1132;287;1077;342;1072;347;2010
AT335;70409;Kirchberg in Tirol;46_65;1427;1194;233;1144;283;1144;283;2010
AT335;70409;Kirchberg in Tirol;65_00;904;812;92;734;170;728;176;2010
AT335;70410;Kirchdorf in Tirol;0_15;636;574;62;597;39;559;77;2010
AT335;70410;Kirchdorf in Tirol;16_25;465;418;47;419;46;408;57;2010
AT335;70410;Kirchdorf in Tirol;26_45;1192;997;195;968;224;959;233;2010
AT335;70410;Kirchdorf in Tirol;46_65;985;892;93;862;123;858;127;2010
AT335;70410;Kirchdorf in Tirol;65_00;498;467;31;430;68;429;69;2010
AT335;70411;Kitzbühel;0_15;1043;893;150;942;101;852;191;2010
AT335;70411;Kitzbühel;16_25;838;708;130;686;152;665;173;2010
AT335;70411;Kitzbühel;26_45;2062;1603;459;1524;538;1507;555;2010
AT335;70411;Kitzbühel;46_65;2461;2086;375;1989;472;1981;480;2010
AT335;70411;Kitzbühel;65_00;1803;1634;169;1421;382;1412;391;2010
AT335;70412;Kössen;0_15;698;610;88;634;64;587;111;2010
AT335;70412;Kössen;16_25;538;482;56;457;81;455;83;2010
AT335;70412;Kössen;26_45;1115;885;230;843;272;839;276;2010
AT335;70412;Kössen;46_65;1203;1003;200;957;246;956;247;2010
AT335;70412;Kössen;65_00;639;547;92;495;144;491;148;2010
AT335;70413;Oberndorf in Tirol;0_15;318;288;30;303;15;285;33;2010
AT335;70413;Oberndorf in Tirol;16_25;243;219;24;220;23;215;28;2010
AT335;70413;Oberndorf in Tirol;26_45;552;478;74;469;83;469;83;2010
AT335;70413;Oberndorf in Tirol;46_65;599;530;69;512;87;511;88;2010
AT335;70413;Oberndorf in Tirol;65_00;303;275;28;254;49;251;52;2010
AT335;70414;Reith bei Kitzbühel;0_15;238;228;10;222;16;221;17;2010
AT335;70414;Reith bei Kitzbühel;16_25;165;150;15;150;15;147;18;2010
AT335;70414;Reith bei Kitzbühel;26_45;433;366;67;346;87;346;87;2010
AT335;70414;Reith bei Kitzbühel;46_65;462;369;93;358;104;357;105;2010
AT335;70414;Reith bei Kitzbühel;65_00;335;258;77;234;101;233;102;2010
AT335;70415;St.Jakob in Haus;0_15;135;128;7;130;5;127;8;2010
AT335;70415;St.Jakob in Haus;16_25;95;91;4;91;4;91;4;2010
AT335;70415;St.Jakob in Haus;26_45;210;182;28;181;29;181;29;2010
AT335;70415;St.Jakob in Haus;46_65;207;192;15;188;19;188;19;2010
AT335;70415;St.Jakob in Haus;65_00;83;78;5;69;14;69;14;2010
AT335;70416;St.Johann in Tirol;0_15;1436;1276;160;1373;63;1257;179;2010
AT335;70416;St.Johann in Tirol;16_25;1010;876;134;875;135;842;168;2010
AT335;70416;St.Johann in Tirol;26_45;2538;2117;421;2005;533;1980;558;2010
AT335;70416;St.Johann in Tirol;46_65;2390;2055;335;1933;457;1932;458;2010
AT335;70416;St.Johann in Tirol;65_00;1392;1283;109;1144;248;1137;255;2010
AT335;70417;St.Ulrich/Pillersee;0_15;260;227;33;236;24;224;36;2010
AT335;70417;St.Ulrich/Pillersee;16_25;196;181;15;178;18;178;18;2010
AT335;70417;St.Ulrich/Pillersee;26_45;467;394;73;387;80;386;81;2010
AT335;70417;St.Ulrich/Pillersee;46_65;429;362;67;353;76;352;77;2010
AT335;70417;St.Ulrich/Pillersee;65_00;241;198;43;186;55;184;57;2010
AT335;70418;Schwendt;0_15;127;110;17;118;9;109;18;2010
AT335;70418;Schwendt;16_25;106;99;7;96;10;96;10;2010
AT335;70418;Schwendt;26_45;220;185;35;180;40;180;40;2010
AT335;70418;Schwendt;46_65;222;187;35;183;39;183;39;2010
AT335;70418;Schwendt;65_00;121;99;22;99;22;97;24;2010
AT335;70419;Waidring;0_15;338;303;35;319;19;301;37;2010
AT335;70419;Waidring;16_25;221;205;16;201;20;201;20;2010
AT335;70419;Waidring;26_45;555;487;68;479;76;478;77;2010
AT335;70419;Waidring;46_65;532;472;60;457;75;457;75;2010
AT335;70419;Waidring;65_00;282;265;17;241;41;240;42;2010
AT335;70420;Westendorf;0_15;591;563;28;571;20;552;39;2010
AT335;70420;Westendorf;16_25;413;389;24;381;32;378;35;2010
AT335;70420;Westendorf;26_45;1001;884;117;860;141;858;143;2010
AT335;70420;Westendorf;46_65;981;870;111;840;141;837;144;2010
AT335;70420;Westendorf;65_00;611;551;60;516;95;513;98;2010
AT335;70501;Alpbach;0_15;472;456;16;453;19;448;24;2010
AT335;70501;Alpbach;16_25;332;320;12;313;19;312;20;2010
AT335;70501;Alpbach;26_45;710;640;70;634;76;631;79;2010
AT335;70501;Alpbach;46_65;693;590;103;582;111;578;115;2010
AT335;70501;Alpbach;65_00;411;358;53;348;63;348;63;2010
AT335;70502;Angath;0_15;183;169;14;179;4;165;18;2010
AT335;70502;Angath;16_25;125;116;9;116;9;113;12;2010
AT335;70502;Angath;26_45;279;245;34;238;41;235;44;2010
AT335;70502;Angath;46_65;219;202;17;194;25;192;27;2010
AT335;70502;Angath;65_00;105;103;2;102;3;102;3;2010
AT335;70503;Bad Häring;0_15;430;404;26;410;20;394;36;2010
AT335;70503;Bad Häring;16_25;302;279;23;280;22;277;25;2010
AT335;70503;Bad Häring;26_45;740;652;88;639;101;638;102;2010
AT335;70503;Bad Häring;46_65;690;647;43;605;85;605;85;2010
AT335;70503;Bad Häring;65_00;385;374;11;345;40;345;40;2010
AT335;70504;Brandenberg;0_15;296;285;11;287;9;282;14;2010
AT335;70504;Brandenberg;16_25;188;185;3;184;4;184;4;2010
AT335;70504;Brandenberg;26_45;416;393;23;390;26;389;27;2010
AT335;70504;Brandenberg;46_65;381;368;13;365;16;365;16;2010
AT335;70504;Brandenberg;65_00;272;263;9;256;16;255;17;2010
AT335;70505;Breitenbach am Inn;0_15;613;583;30;591;22;572;41;2010
AT335;70505;Breitenbach am Inn;16_25;438;417;21;414;24;409;29;2010
AT335;70505;Breitenbach am Inn;26_45;990;915;75;901;89;899;91;2010
AT335;70505;Breitenbach am Inn;46_65;793;734;59;716;77;716;77;2010
AT335;70505;Breitenbach am Inn;65_00;453;437;16;415;38;413;40;2010
AT335;70506;Brixlegg;0_15;420;364;56;404;16;363;57;2010
AT335;70506;Brixlegg;16_25;386;356;30;356;30;345;41;2010
AT335;70506;Brixlegg;26_45;793;670;123;636;157;629;164;2010
AT335;70506;Brixlegg;46_65;731;672;59;643;88;642;89;2010
AT335;70506;Brixlegg;65_00;455;441;14;407;48;405;50;2010
AT335;70508;Ebbs;0_15;883;806;77;826;57;789;94;2010
AT335;70508;Ebbs;16_25;672;611;61;591;81;588;84;2010
AT335;70508;Ebbs;26_45;1480;1257;223;1220;260;1208;272;2010
AT335;70508;Ebbs;46_65;1326;1179;147;1122;204;1117;209;2010
AT335;70508;Ebbs;65_00;804;735;69;649;155;644;160;2010
AT335;70509;Ellmau;0_15;397;348;49;367;30;342;55;2010
AT335;70509;Ellmau;16_25;320;278;42;272;48;270;50;2010
AT335;70509;Ellmau;26_45;741;609;132;593;148;591;150;2010
AT335;70509;Ellmau;46_65;778;609;169;583;195;580;198;2010
AT335;70509;Ellmau;65_00;410;322;88;287;123;284;126;2010
AT335;70510;Erl;0_15;261;236;25;237;24;224;37;2010
AT335;70510;Erl;16_25;193;173;20;154;39;154;39;2010
AT335;70510;Erl;26_45;407;322;85;295;112;292;115;2010
AT335;70510;Erl;46_65;371;298;73;281;90;280;91;2010
AT335;70510;Erl;65_00;225;210;15;176;49;175;50;2010
AT335;70511;Kirchbichl;0_15;878;816;62;849;29;806;72;2010
AT335;70511;Kirchbichl;16_25;607;562;45;556;51;544;63;2010
AT335;70511;Kirchbichl;26_45;1514;1324;190;1271;243;1256;258;2010
AT335;70511;Kirchbichl;46_65;1373;1250;123;1190;183;1183;190;2010
AT335;70511;Kirchbichl;65_00;916;893;23;835;81;834;82;2010
AT335;70512;Kramsach;0_15;783;726;57;748;35;711;72;2010
AT335;70512;Kramsach;16_25;501;466;35;469;32;456;45;2010
AT335;70512;Kramsach;26_45;1345;1223;122;1198;147;1195;150;2010
AT335;70512;Kramsach;46_65;1159;1063;96;1024;135;1022;137;2010
AT335;70512;Kramsach;65_00;749;732;17;662;87;660;89;2010
AT335;70513;Kufstein;0_15;2862;2351;511;2654;208;2292;570;2010
AT335;70513;Kufstein;16_25;2375;1838;537;1734;641;1652;723;2010
AT335;70513;Kufstein;26_45;5126;3764;1362;3291;1835;3224;1902;2010
AT335;70513;Kufstein;46_65;4397;3635;762;3204;1193;3167;1230;2010
AT335;70513;Kufstein;65_00;2628;2434;194;1949;679;1931;697;2010
AT335;70514;Kundl;0_15;702;649;53;677;25;639;63;2010
AT335;70514;Kundl;16_25;487;454;33;442;45;437;50;2010
AT335;70514;Kundl;26_45;1175;1012;163;962;213;957;218;2010
AT335;70514;Kundl;46_65;966;873;93;838;128;835;131;2010
AT335;70514;Kundl;65_00;641;624;17;575;66;574;67;2010
AT335;70515;Langkampfen;0_15;623;599;24;616;7;597;26;2010
AT335;70515;Langkampfen;16_25;467;434;33;434;33;431;36;2010
AT335;70515;Langkampfen;26_45;1031;941;90;910;121;904;127;2010
AT335;70515;Langkampfen;46_65;1021;952;69;927;94;927;94;2010
AT335;70515;Langkampfen;65_00;533;516;17;458;75;455;78;2010
AT335;70516;Mariastein;0_15;72;70;2;70;2;70;2;2010
AT335;70516;Mariastein;16_25;45;41;4;41;4;41;4;2010
AT335;70516;Mariastein;26_45;102;89;13;88;14;88;14;2010
AT335;70516;Mariastein;46_65;78;74;4;72;6;72;6;2010
AT335;70516;Mariastein;65_00;32;32;0;31;1;31;1;2010
AT335;70517;Münster;0_15;526;513;13;512;14;506;20;2010
AT335;70517;Münster;16_25;365;352;13;350;15;350;15;2010
AT335;70517;Münster;26_45;920;865;55;851;69;847;73;2010
AT335;70517;Münster;46_65;808;774;34;751;57;748;60;2010
AT335;70517;Münster;65_00;373;362;11;342;31;341;32;2010
AT335;70518;Niederndorf;0_15;469;428;41;422;47;405;64;2010
AT335;70518;Niederndorf;16_25;346;322;24;295;51;295;51;2010
AT335;70518;Niederndorf;26_45;769;674;95;641;128;640;129;2010
AT335;70518;Niederndorf;46_65;674;575;99;549;125;547;127;2010
AT335;70518;Niederndorf;65_00;364;335;29;300;64;300;64;2010
AT335;70519;Niederndorferberg;0_15;131;125;6;121;10;120;11;2010
AT335;70519;Niederndorferberg;16_25;83;82;1;81;2;81;2;2010
AT335;70519;Niederndorferberg;26_45;203;175;28;173;30;173;30;2010
AT335;70519;Niederndorferberg;46_65;163;132;31;125;38;125;38;2010
AT335;70519;Niederndorferberg;65_00;87;71;16;65;22;64;23;2010
AT335;70520;Radfeld;0_15;478;446;32;467;11;441;37;2010
AT335;70520;Radfeld;16_25;259;227;32;223;36;215;44;2010
AT335;70520;Radfeld;26_45;749;655;94;605;144;604;145;2010
AT335;70520;Radfeld;46_65;534;464;70;443;91;440;94;2010
AT335;70520;Radfeld;65_00;250;237;13;212;38;212;38;2010
AT335;70521;Rattenberg;0_15;54;41;13;46;8;40;14;2010
AT335;70521;Rattenberg;16_25;57;49;8;47;10;45;12;2010
AT335;70521;Rattenberg;26_45;111;89;22;84;27;84;27;2010
AT335;70521;Rattenberg;46_65;115;95;20;88;27;88;27;2010
AT335;70521;Rattenberg;65_00;68;68;0;61;7;61;7;2010
AT335;70522;Reith im Alpbachtal;0_15;441;404;37;414;27;394;47;2010
AT335;70522;Reith im Alpbachtal;16_25;385;335;50;333;52;329;56;2010
AT335;70522;Reith im Alpbachtal;26_45;726;626;100;600;126;598;128;2010
AT335;70522;Reith im Alpbachtal;46_65;682;624;58;600;82;600;82;2010
AT335;70522;Reith im Alpbachtal;65_00;427;408;19;394;33;392;35;2010
AT335;70523;Rettenschöss;0_15;81;78;3;78;3;78;3;2010
AT335;70523;Rettenschöss;16_25;59;54;5;54;5;54;5;2010
AT335;70523;Rettenschöss;26_45;133;117;16;114;19;114;19;2010
AT335;70523;Rettenschöss;46_65;113;101;12;101;12;100;13;2010
AT335;70523;Rettenschöss;65_00;71;65;6;59;12;59;12;2010
AT335;70524;Scheffau/Wild.Kaiser;0_15;219;207;12;215;4;207;12;2010
AT335;70524;Scheffau/Wild.Kaiser;16_25;162;153;9;150;12;150;12;2010
AT335;70524;Scheffau/Wild.Kaiser;26_45;363;300;63;291;72;290;73;2010
AT335;70524;Scheffau/Wild.Kaiser;46_65;369;320;49;311;58;311;58;2010
AT335;70524;Scheffau/Wild.Kaiser;65_00;209;188;21;170;39;170;39;2010
AT335;70525;Schwoich;0_15;423;401;22;412;11;400;23;2010
AT335;70525;Schwoich;16_25;267;255;12;253;14;252;15;2010
AT335;70525;Schwoich;26_45;647;592;55;579;68;576;71;2010
AT335;70525;Schwoich;46_65;641;591;50;580;61;580;61;2010
AT335;70525;Schwoich;65_00;301;290;11;276;25;274;27;2010
AT335;70526;Söll;0_15;610;552;58;587;23;546;64;2010
AT335;70526;Söll;16_25;466;435;31;433;33;427;39;2010
AT335;70526;Söll;26_45;1042;900;142;867;175;860;182;2010
AT335;70526;Söll;46_65;946;833;113;808;138;806;140;2010
AT335;70526;Söll;65_00;462;437;25;421;41;420;42;2010
AT335;70527;Thiersee;0_15;501;468;33;470;31;452;49;2010
AT335;70527;Thiersee;16_25;343;323;20;314;29;313;30;2010
AT335;70527;Thiersee;26_45;769;663;106;656;113;651;118;2010
AT335;70527;Thiersee;46_65;769;672;97;643;126;643;126;2010
AT335;70527;Thiersee;65_00;440;393;47;369;71;367;73;2010
AT335;70528;Angerberg;0_15;297;288;9;287;10;284;13;2010
AT335;70528;Angerberg;16_25;223;217;6;214;9;213;10;2010
AT335;70528;Angerberg;26_45;479;444;35;435;44;434;45;2010
AT335;70528;Angerberg;46_65;478;454;24;440;38;440;38;2010
AT335;70528;Angerberg;65_00;262;255;7;238;24;238;24;2010
AT335;70529;Walchsee;0_15;309;275;34;283;26;265;44;2010
AT335;70529;Walchsee;16_25;255;235;20;225;30;225;30;2010
AT335;70529;Walchsee;26_45;510;416;94;401;109;401;109;2010
AT335;70529;Walchsee;46_65;514;427;87;406;108;404;110;2010
AT335;70529;Walchsee;65_00;224;192;32;175;49;174;50;2010
AT335;70530;Wildschönau;0_15;822;786;36;796;26;782;40;2010
AT335;70530;Wildschönau;16_25;494;477;17;470;24;467;27;2010
AT335;70530;Wildschönau;26_45;1182;1082;100;1065;117;1064;118;2010
AT335;70530;Wildschönau;46_65;1037;920;117;895;142;895;142;2010
AT335;70530;Wildschönau;65_00;596;551;45;518;78;517;79;2010
AT335;70531;Wörgl;0_15;2221;1914;307;2099;122;1869;352;2010
AT335;70531;Wörgl;16_25;1667;1413;254;1310;357;1267;400;2010
AT335;70531;Wörgl;26_45;3840;3006;834;2568;1272;2516;1324;2010
AT335;70531;Wörgl;46_65;3249;2807;442;2524;725;2523;726;2010
AT335;70531;Wörgl;65_00;1668;1566;102;1379;289;1373;295;2010
AT334;70601;Faggen;0_15;82;80;2;80;2;78;4;2010
AT334;70601;Faggen;16_25;53;48;5;45;8;45;8;2010
AT334;70601;Faggen;26_45;117;109;8;106;11;106;11;2010
AT334;70601;Faggen;46_65;65;63;2;61;4;61;4;2010
AT334;70601;Faggen;65_00;38;37;1;35;3;35;3;2010
AT334;70602;Fendels;0_15;42;42;0;40;2;40;2;2010
AT334;70602;Fendels;16_25;61;50;11;47;14;47;14;2010
AT334;70602;Fendels;26_45;66;59;7;57;9;57;9;2010
AT334;70602;Fendels;46_65;63;59;4;58;5;58;5;2010
AT334;70602;Fendels;65_00;31;29;2;28;3;28;3;2010
AT334;70603;Fiss;0_15;176;166;10;168;8;160;16;2010
AT334;70603;Fiss;16_25;170;123;47;119;51;117;53;2010
AT334;70603;Fiss;26_45;335;254;81;253;82;252;83;2010
AT334;70603;Fiss;46_65;208;186;22;183;25;183;25;2010
AT334;70603;Fiss;65_00;115;113;2;111;4;111;4;2010
AT334;70604;Fließ;0_15;525;514;11;521;4;513;12;2010
AT334;70604;Fließ;16_25;468;459;9;454;14;453;15;2010
AT334;70604;Fließ;26_45;804;768;36;765;39;762;42;2010
AT334;70604;Fließ;46_65;721;692;29;682;39;681;40;2010
AT334;70604;Fließ;65_00;392;386;6;372;20;370;22;2010
AT334;70605;Flirsch;0_15;148;132;16;138;10;130;18;2010
AT334;70605;Flirsch;16_25;155;138;17;138;17;137;18;2010
AT334;70605;Flirsch;26_45;257;209;48;204;53;202;55;2010
AT334;70605;Flirsch;46_65;242;225;17;221;21;220;22;2010
AT334;70605;Flirsch;65_00;173;173;0;166;7;166;7;2010
AT334;70606;Galtür;0_15;148;142;6;145;3;140;8;2010
AT334;70606;Galtür;16_25;122;104;18;104;18;104;18;2010
AT334;70606;Galtür;26_45;287;217;70;216;71;215;72;2010
AT334;70606;Galtür;46_65;213;171;42;171;42;171;42;2010
AT334;70606;Galtür;65_00;111;111;0;110;1;110;1;2010
AT334;70607;Grins;0_15;275;270;5;270;5;266;9;2010
AT334;70607;Grins;16_25;180;174;6;172;8;172;8;2010
AT334;70607;Grins;26_45;395;374;21;375;20;371;24;2010
AT334;70607;Grins;46_65;322;307;15;299;23;298;24;2010
AT334;70607;Grins;65_00;208;206;2;197;11;197;11;2010
AT334;70608;Ischgl;0_15;312;306;6;303;9;298;14;2010
AT334;70608;Ischgl;16_25;211;204;7;200;11;200;11;2010
AT334;70608;Ischgl;26_45;510;457;53;453;57;450;60;2010
AT334;70608;Ischgl;46_65;401;349;52;346;55;344;57;2010
AT334;70608;Ischgl;65_00;165;164;1;160;5;159;6;2010
AT334;70609;Kappl;0_15;520;517;3;516;4;514;6;2010
AT334;70609;Kappl;16_25;381;376;5;374;7;374;7;2010
AT334;70609;Kappl;26_45;746;717;29;714;32;713;33;2010
AT334;70609;Kappl;46_65;645;623;22;617;28;614;31;2010
AT334;70609;Kappl;65_00;337;334;3;331;6;331;6;2010
AT334;70610;Kaunerberg;0_15;67;67;0;67;0;67;0;2010
AT334;70610;Kaunerberg;16_25;57;56;1;56;1;56;1;2010
AT334;70610;Kaunerberg;26_45;125;120;5;119;6;119;6;2010
AT334;70610;Kaunerberg;46_65;86;84;2;82;4;82;4;2010
AT334;70610;Kaunerberg;65_00;43;43;0;41;2;41;2;2010
AT334;70611;Kaunertal;0_15;91;87;4;86;5;85;6;2010
AT334;70611;Kaunertal;16_25;112;98;14;98;14;98;14;2010
AT334;70611;Kaunertal;26_45;173;150;23;150;23;149;24;2010
AT334;70611;Kaunertal;46_65;144;135;9;131;13;131;13;2010
AT334;70611;Kaunertal;65_00;95;91;4;89;6;89;6;2010
AT334;70612;Kauns;0_15;91;90;1;90;1;90;1;2010
