Bevölkerung in den Gemeinden Tirols nach Altersgruppen, Staatsangehörigkeit, Geburtsland und Migrationshintergrund;;;;;;;;;;;
Population in the municipalities of Tyrol by age, nationality, country of birth and migration background;;;;;;;;;;;
NUTS3;DISTRICT_CODE;NAME;AGE_GRP;POP_TOTAL;POP_AUT_NATIONALITY;POP_FOR_NATIONALITY;POP_AUT_BORN;POP_FOR_BORN;POP_NOM_BACKGROUND;POP_MIG_BACKGROUND;YEAR
AT334;70217;St.Leonhard/Pitztal;0_15;243;236;7;235;8;233;10;2010
AT334;70217;St.Leonhard/Pitztal;16_25;217;209;8;208;9;208;9;2010
AT334;70217;St.Leonhard/Pitztal;26_45;450;403;47;399;51;399;51;2010
AT334;70217;St.Leonhard/Pitztal;46_65;354;328;26;318;36;318;36;2010
AT334;70217;St.Leonhard/Pitztal;65_00;199;196;3;194;5;194;5;2010
AT334;70218;Sautens;0_15;285;270;15;273;12;266;19;2010
AT334;70218;Sautens;16_25;154;138;16;141;13;136;18;2010
AT334;70218;Sautens;26_45;420;363;57;343;77;341;79;2010
AT334;70218;Sautens;46_65;363;328;35;315;48;314;49;2010
AT334;70218;Sautens;65_00;195;186;9;173;22;172;23;2010
AT334;70219;Silz;0_15;394;373;21;389;5;372;22;2010
AT334;70219;Silz;16_25;337;288;49;281;56;280;57;2010
AT334;70219;Silz;26_45;759;639;120;621;138;617;142;2010
AT334;70219;Silz;46_65;684;606;78;576;108;575;109;2010
AT334;70219;Silz;65_00;408;393;15;365;43;365;43;2010
AT334;70220;Sölden;0_15;542;477;65;513;29;467;75;2010
AT334;70220;Sölden;16_25;747;393;354;392;355;388;359;2010
AT334;70220;Sölden;26_45;1490;789;701;773;717;766;724;2010
AT334;70220;Sölden;46_65;969;715;254;701;268;700;269;2010
AT334;70220;Sölden;65_00;365;357;8;336;29;336;29;2010
AT334;70221;Stams;0_15;220;212;8;212;8;207;13;2010
AT334;70221;Stams;16_25;184;178;6;172;12;172;12;2010
AT334;70221;Stams;26_45;411;379;32;362;49;361;50;2010
AT334;70221;Stams;46_65;337;314;23;302;35;301;36;2010
AT334;70221;Stams;65_00;183;177;6;152;31;151;32;2010
AT334;70222;Tarrenz;0_15;449;427;22;440;9;423;26;2010
AT334;70222;Tarrenz;16_25;423;395;28;380;43;379;44;2010
AT334;70222;Tarrenz;26_45;742;675;67;638;104;637;105;2010
AT334;70222;Tarrenz;46_65;688;653;35;614;74;612;76;2010
AT334;70222;Tarrenz;65_00;346;333;13;308;38;308;38;2010
AT334;70223;Umhausen;0_15;644;597;47;619;25;592;52;2010
AT334;70223;Umhausen;16_25;449;423;26;412;37;410;39;2010
AT334;70223;Umhausen;26_45;974;876;98;862;112;860;114;2010
AT334;70223;Umhausen;46_65;667;612;55;607;60;605;62;2010
AT334;70223;Umhausen;65_00;344;333;11;322;22;321;23;2010
AT334;70224;Wenns;0_15;336;319;17;332;4;319;17;2010
AT334;70224;Wenns;16_25;284;272;12;271;13;271;13;2010
AT334;70224;Wenns;26_45;574;532;42;526;48;524;50;2010
AT334;70224;Wenns;46_65;493;457;36;452;41;448;45;2010
AT334;70224;Wenns;65_00;292;280;12;265;27;264;28;2010
AT332;70301;Absam;0_15;1007;951;56;983;24;943;64;2010
AT332;70301;Absam;16_25;836;802;34;788;48;783;53;2010
AT332;70301;Absam;26_45;1922;1754;168;1684;238;1674;248;2010
AT332;70301;Absam;46_65;1844;1740;104;1650;194;1645;199;2010
AT332;70301;Absam;65_00;1091;1064;27;932;159;929;162;2010
AT332;70302;Aldrans;0_15;417;387;30;395;22;374;43;2010
AT332;70302;Aldrans;16_25;238;218;20;214;24;214;24;2010
AT332;70302;Aldrans;26_45;700;601;99;578;122;574;126;2010
AT332;70302;Aldrans;46_65;510;467;43;449;61;449;61;2010
AT332;70302;Aldrans;65_00;318;313;5;270;48;269;49;2010
AT332;70303;Ampass;0_15;312;286;26;297;15;283;29;2010
AT332;70303;Ampass;16_25;201;181;20;180;21;176;25;2010
AT332;70303;Ampass;26_45;557;481;76;455;102;451;106;2010
AT332;70303;Ampass;46_65;368;340;28;328;40;325;43;2010
AT332;70303;Ampass;65_00;206;202;4;186;20;186;20;2010
AT332;70304;Axams;0_15;816;767;49;792;24;759;57;2010
AT332;70304;Axams;16_25;696;659;37;638;58;634;62;2010
AT332;70304;Axams;26_45;1559;1383;176;1350;209;1339;220;2010
AT332;70304;Axams;46_65;1610;1518;92;1457;153;1454;156;2010
AT332;70304;Axams;65_00;818;787;31;710;108;708;110;2010
AT332;70305;Baumkirchen;0_15;211;203;8;200;11;197;14;2010
AT332;70305;Baumkirchen;16_25;142;141;1;141;1;141;1;2010
AT332;70305;Baumkirchen;26_45;317;297;20;287;30;287;30;2010
AT332;70305;Baumkirchen;46_65;295;279;16;273;22;271;24;2010
AT332;70305;Baumkirchen;65_00;179;174;5;152;27;152;27;2010
AT332;70306;Birgitz;0_15;197;175;22;191;6;174;23;2010
AT332;70306;Birgitz;16_25;159;151;8;142;17;142;17;2010
AT332;70306;Birgitz;26_45;390;337;53;322;68;322;68;2010
AT332;70306;Birgitz;46_65;379;355;24;330;49;330;49;2010
AT332;70306;Birgitz;65_00;181;172;9;149;32;149;32;2010
AT332;70307;Ellbögen;0_15;184;180;4;184;0;180;4;2010
AT332;70307;Ellbögen;16_25;142;140;2;139;3;138;4;2010
AT332;70307;Ellbögen;26_45;318;302;16;302;16;300;18;2010
AT332;70307;Ellbögen;46_65;269;262;7;255;14;255;14;2010
AT332;70307;Ellbögen;65_00;168;163;5;157;11;157;11;2010
AT332;70308;Flaurling;0_15;239;222;17;230;9;219;20;2010
AT332;70308;Flaurling;16_25;178;166;12;163;15;161;17;2010
AT332;70308;Flaurling;26_45;348;325;23;316;32;316;32;2010
AT332;70308;Flaurling;46_65;301;282;19;277;24;277;24;2010
